nth_trial,second_crosstalk,third_crosstalk,fourth_crosstalk
131,34.48275862068966,24.137931034482758,0.0
132,34.48275862068966,24.137931034482758,0.0
133,34.48275862068966,24.137931034482758,0.0
134,34.48275862068966,24.137931034482758,0.0
135,34.48275862068966,24.137931034482758,0.0
136,33.333333333333336,23.333333333333332,0.0
137,33.333333333333336,23.333333333333332,0.0
138,33.333333333333336,23.333333333333332,0.0
139,33.333333333333336,26.666666666666668,0.0
140,33.333333333333336,30.0,0.0
141,33.333333333333336,30.0,3.3333333333333335
142,33.333333333333336,30.0,3.3333333333333335
143,33.333333333333336,30.0,3.3333333333333335
144,33.333333333333336,30.0,3.3333333333333335
145,33.333333333333336,30.0,3.3333333333333335
146,33.333333333333336,30.0,3.3333333333333335
147,32.25806451612903,29.032258064516128,3.225806451612903
148,31.25,28.125,3.125
149,30.303030303030305,27.272727272727273,3.0303030303030303
150,30.303030303030305,27.272727272727273,3.0303030303030303
151,29.41176470588235,26.470588235294116,2.9411764705882355
152,29.41176470588235,26.470588235294116,2.9411764705882355
153,29.41176470588235,26.470588235294116,2.9411764705882355
154,29.41176470588235,26.470588235294116,2.9411764705882355
155,29.41176470588235,26.470588235294116,2.9411764705882355
156,28.571428571428573,25.714285714285715,2.857142857142857
157,28.571428571428573,25.714285714285715,2.857142857142857
158,28.571428571428573,25.714285714285715,2.857142857142857
159,28.571428571428573,25.714285714285715,2.857142857142857
160,27.77777777777778,25.0,2.7777777777777777
161,27.77777777777778,25.0,2.7777777777777777
162,27.77777777777778,25.0,2.7777777777777777
163,27.027027027027028,24.324324324324323,2.7027027027027026
164,26.31578947368421,23.68421052631579,2.6315789473684212
165,26.31578947368421,23.68421052631579,2.6315789473684212
166,25.641025641025642,23.076923076923077,2.5641025641025643
167,25.641025641025642,25.641025641025642,2.5641025641025643
168,25.641025641025642,25.641025641025642,2.5641025641025643
169,25.641025641025642,25.641025641025642,2.5641025641025643
170,25.641025641025642,25.641025641025642,2.5641025641025643
171,25.641025641025642,25.641025641025642,2.5641025641025643
172,28.205128205128204,25.641025641025642,2.5641025641025643
173,28.205128205128204,25.641025641025642,2.5641025641025643
174,28.205128205128204,25.641025641025642,2.5641025641025643
175,27.5,25.0,2.5
176,27.5,25.0,2.5
177,27.5,25.0,2.5
178,27.5,25.0,2.5
179,26.829268292682926,24.390243902439025,2.4390243902439024
180,26.19047619047619,23.80952380952381,2.380952380952381
181,26.19047619047619,23.80952380952381,2.380952380952381
182,26.19047619047619,23.80952380952381,2.380952380952381
183,26.19047619047619,23.80952380952381,2.380952380952381
184,26.19047619047619,23.80952380952381,2.380952380952381
185,26.19047619047619,23.80952380952381,2.380952380952381
186,25.58139534883721,23.25581395348837,2.3255813953488373
187,25.58139534883721,23.25581395348837,2.3255813953488373
188,25.0,22.727272727272727,2.272727272727273
189,25.0,22.727272727272727,2.272727272727273
190,25.0,22.727272727272727,2.272727272727273
191,24.444444444444443,22.22222222222222,2.2222222222222223
192,24.444444444444443,22.22222222222222,2.2222222222222223
193,24.444444444444443,22.22222222222222,2.2222222222222223
194,24.444444444444443,22.22222222222222,2.2222222222222223
195,24.444444444444443,22.22222222222222,2.2222222222222223
196,24.444444444444443,22.22222222222222,2.2222222222222223
197,24.444444444444443,22.22222222222222,2.2222222222222223
198,23.91304347826087,21.73913043478261,2.1739130434782608
199,23.91304347826087,21.73913043478261,2.1739130434782608
200,23.404255319148938,21.27659574468085,2.127659574468085
201,22.916666666666668,20.833333333333332,2.0833333333333335
202,22.448979591836736,20.408163265306122,2.0408163265306123
203,22.448979591836736,20.408163265306122,2.0408163265306123
204,22.448979591836736,20.408163265306122,2.0408163265306123
205,22.448979591836736,20.408163265306122,2.0408163265306123
206,22.448979591836736,20.408163265306122,2.0408163265306123
207,22.448979591836736,20.408163265306122,2.0408163265306123
208,22.0,20.0,2.0
209,22.0,20.0,2.0
210,22.0,20.0,2.0
211,21.568627450980394,19.607843137254903,1.9607843137254901
212,21.568627450980394,19.607843137254903,3.9215686274509802
213,23.529411764705884,19.607843137254903,3.9215686274509802
214,23.529411764705884,19.607843137254903,3.9215686274509802
215,23.529411764705884,19.607843137254903,3.9215686274509802
216,23.529411764705884,19.607843137254903,3.9215686274509802
217,23.529411764705884,19.607843137254903,3.9215686274509802
218,23.076923076923077,19.23076923076923,3.8461538461538463
219,23.076923076923077,19.23076923076923,3.8461538461538463
220,23.076923076923077,19.23076923076923,3.8461538461538463
221,23.076923076923077,19.23076923076923,3.8461538461538463
222,23.076923076923077,19.23076923076923,3.8461538461538463
223,23.076923076923077,19.23076923076923,3.8461538461538463
224,23.076923076923077,19.23076923076923,3.8461538461538463
225,25.0,19.23076923076923,3.8461538461538463
226,24.528301886792452,18.867924528301888,3.7735849056603774
227,24.528301886792452,18.867924528301888,3.7735849056603774
228,24.074074074074073,18.51851851851852,3.7037037037037037
229,25.925925925925927,18.51851851851852,3.7037037037037037
230,25.925925925925927,18.51851851851852,3.7037037037037037
231,25.925925925925927,18.51851851851852,3.7037037037037037
232,25.925925925925927,18.51851851851852,3.7037037037037037
233,25.454545454545453,18.181818181818183,3.6363636363636362
234,25.454545454545453,18.181818181818183,3.6363636363636362
235,25.454545454545453,18.181818181818183,3.6363636363636362
236,25.454545454545453,18.181818181818183,3.6363636363636362
237,25.454545454545453,18.181818181818183,3.6363636363636362
238,25.454545454545453,18.181818181818183,3.6363636363636362
239,25.454545454545453,18.181818181818183,3.6363636363636362
240,25.454545454545453,18.181818181818183,3.6363636363636362
241,25.454545454545453,18.181818181818183,3.6363636363636362
242,27.272727272727273,18.181818181818183,3.6363636363636362
243,26.785714285714285,17.857142857142858,3.5714285714285716
244,26.785714285714285,17.857142857142858,3.5714285714285716
245,26.785714285714285,19.642857142857142,3.5714285714285716
246,26.785714285714285,19.642857142857142,3.5714285714285716
247,26.785714285714285,19.642857142857142,3.5714285714285716
248,26.785714285714285,19.642857142857142,3.5714285714285716
249,26.785714285714285,21.428571428571427,3.5714285714285716
250,26.785714285714285,21.428571428571427,3.5714285714285716
251,26.785714285714285,23.214285714285715,3.5714285714285716
252,26.785714285714285,23.214285714285715,3.5714285714285716
253,26.31578947368421,22.80701754385965,3.508771929824561
254,26.31578947368421,22.80701754385965,3.508771929824561
255,26.31578947368421,22.80701754385965,3.508771929824561
256,26.31578947368421,22.80701754385965,3.508771929824561
257,26.31578947368421,22.80701754385965,3.508771929824561
258,25.862068965517242,22.413793103448278,3.4482758620689653
259,25.862068965517242,22.413793103448278,3.4482758620689653
260,25.862068965517242,22.413793103448278,3.4482758620689653
261,25.423728813559322,22.033898305084747,3.389830508474576
262,27.11864406779661,22.033898305084747,3.389830508474576
263,27.11864406779661,22.033898305084747,3.389830508474576
264,27.11864406779661,22.033898305084747,3.389830508474576
265,28.8135593220339,22.033898305084747,3.389830508474576
266,28.8135593220339,22.033898305084747,3.389830508474576
267,28.8135593220339,22.033898305084747,3.389830508474576
268,28.333333333333332,21.666666666666668,3.3333333333333335
269,28.333333333333332,21.666666666666668,3.3333333333333335
270,28.333333333333332,21.666666666666668,3.3333333333333335
271,27.868852459016395,21.311475409836067,3.278688524590164
272,27.868852459016395,21.311475409836067,3.278688524590164
273,27.419354838709676,20.967741935483872,3.225806451612903
274,27.419354838709676,20.967741935483872,3.225806451612903
275,27.419354838709676,20.967741935483872,3.225806451612903
276,27.419354838709676,20.967741935483872,3.225806451612903
277,26.984126984126984,20.634920634920636,3.1746031746031744
278,26.984126984126984,20.634920634920636,3.1746031746031744
279,26.984126984126984,20.634920634920636,3.1746031746031744
280,26.984126984126984,20.634920634920636,3.1746031746031744
281,26.984126984126984,20.634920634920636,3.1746031746031744
282,26.5625,20.3125,3.125
283,26.5625,20.3125,3.125
284,26.5625,20.3125,3.125
285,26.153846153846153,20.0,3.076923076923077
286,27.692307692307693,20.0,3.076923076923077
287,27.272727272727273,19.696969696969695,3.0303030303030303
288,27.272727272727273,19.696969696969695,3.0303030303030303
289,27.272727272727273,19.696969696969695,3.0303030303030303
290,27.272727272727273,19.696969696969695,3.0303030303030303
291,27.272727272727273,19.696969696969695,4.545454545454546
292,27.272727272727273,19.696969696969695,4.545454545454546
293,27.272727272727273,19.696969696969695,4.545454545454546
294,26.865671641791046,19.402985074626866,4.477611940298507
295,26.865671641791046,19.402985074626866,4.477611940298507
296,26.865671641791046,19.402985074626866,4.477611940298507
297,26.865671641791046,19.402985074626866,4.477611940298507
298,26.865671641791046,19.402985074626866,4.477611940298507
299,26.865671641791046,20.895522388059703,4.477611940298507
300,26.865671641791046,20.895522388059703,4.477611940298507
301,26.865671641791046,20.895522388059703,4.477611940298507
302,26.865671641791046,20.895522388059703,5.970149253731344
303,26.865671641791046,20.895522388059703,5.970149253731344
304,26.470588235294116,20.58823529411765,5.882352941176471
305,26.470588235294116,20.58823529411765,5.882352941176471
306,26.470588235294116,20.58823529411765,5.882352941176471
307,26.470588235294116,20.58823529411765,5.882352941176471
308,26.470588235294116,20.58823529411765,5.882352941176471
309,26.08695652173913,20.28985507246377,5.797101449275362
310,26.08695652173913,20.28985507246377,5.797101449275362
311,25.714285714285715,20.0,5.714285714285714
312,25.714285714285715,20.0,5.714285714285714
313,25.714285714285715,20.0,5.714285714285714
314,25.35211267605634,19.718309859154928,5.633802816901408
315,25.35211267605634,19.718309859154928,5.633802816901408
316,25.35211267605634,19.718309859154928,5.633802816901408
317,25.0,19.444444444444443,5.555555555555555
318,24.65753424657534,19.17808219178082,5.47945205479452
319,24.324324324324323,18.91891891891892,5.405405405405405
320,24.0,18.666666666666668,5.333333333333333
321,24.0,18.666666666666668,5.333333333333333
322,24.0,18.666666666666668,5.333333333333333
323,24.0,18.666666666666668,5.333333333333333
324,24.0,20.0,5.333333333333333
325,23.68421052631579,19.736842105263158,5.2631578947368425
326,23.68421052631579,19.736842105263158,5.2631578947368425
327,23.68421052631579,19.736842105263158,5.2631578947368425
328,23.68421052631579,19.736842105263158,5.2631578947368425
329,25.0,19.736842105263158,5.2631578947368425
330,25.0,19.736842105263158,5.2631578947368425
331,25.0,19.736842105263158,5.2631578947368425
332,25.0,19.736842105263158,5.2631578947368425
333,24.675324675324674,19.48051948051948,5.194805194805195
334,24.358974358974358,19.23076923076923,5.128205128205129
335,24.050632911392405,18.9873417721519,5.063291139240507
336,25.31645569620253,18.9873417721519,5.063291139240507
337,25.31645569620253,18.9873417721519,5.063291139240507
338,25.31645569620253,18.9873417721519,5.063291139240507
339,26.582278481012658,18.9873417721519,5.063291139240507
340,26.25,18.75,5.0
341,25.925925925925927,18.51851851851852,4.938271604938271
342,25.609756097560975,18.29268292682927,4.878048780487805
343,25.609756097560975,18.29268292682927,4.878048780487805
344,25.609756097560975,19.51219512195122,4.878048780487805
345,25.609756097560975,19.51219512195122,4.878048780487805
346,25.609756097560975,19.51219512195122,4.878048780487805
347,25.609756097560975,19.51219512195122,4.878048780487805
348,25.609756097560975,19.51219512195122,4.878048780487805
349,26.829268292682926,19.51219512195122,4.878048780487805
350,26.829268292682926,20.73170731707317,4.878048780487805
351,28.048780487804876,20.73170731707317,4.878048780487805
352,27.710843373493976,20.481927710843372,4.819277108433735
353,27.710843373493976,20.481927710843372,4.819277108433735
354,27.710843373493976,20.481927710843372,4.819277108433735
355,27.710843373493976,20.481927710843372,4.819277108433735
356,27.38095238095238,20.238095238095237,4.761904761904762
357,27.058823529411764,20.0,4.705882352941177
358,27.058823529411764,20.0,4.705882352941177
359,27.058823529411764,20.0,4.705882352941177
360,27.058823529411764,20.0,4.705882352941177
361,27.058823529411764,21.176470588235293,4.705882352941177
362,27.058823529411764,21.176470588235293,4.705882352941177
363,26.74418604651163,20.930232558139537,4.651162790697675
364,27.906976744186046,20.930232558139537,4.651162790697675
365,27.906976744186046,20.930232558139537,4.651162790697675
366,27.906976744186046,20.930232558139537,4.651162790697675
367,27.586206896551722,20.689655172413794,4.597701149425287
368,27.272727272727273,20.454545454545453,4.545454545454546
369,27.272727272727273,20.454545454545453,4.545454545454546
370,27.272727272727273,20.454545454545453,4.545454545454546
371,27.272727272727273,20.454545454545453,4.545454545454546
372,26.96629213483146,20.224719101123597,4.49438202247191
373,26.96629213483146,20.224719101123597,4.49438202247191
374,26.96629213483146,20.224719101123597,4.49438202247191
375,26.96629213483146,20.224719101123597,4.49438202247191
376,26.666666666666668,20.0,4.444444444444445
377,27.77777777777778,20.0,4.444444444444445
378,27.47252747252747,19.78021978021978,4.395604395604396
379,27.47252747252747,19.78021978021978,4.395604395604396
380,27.47252747252747,19.78021978021978,4.395604395604396
381,28.571428571428573,19.78021978021978,4.395604395604396
382,28.571428571428573,19.78021978021978,4.395604395604396
383,28.26086956521739,19.565217391304348,4.3478260869565215
384,28.26086956521739,19.565217391304348,4.3478260869565215
385,27.956989247311828,19.35483870967742,4.301075268817204
386,27.956989247311828,19.35483870967742,4.301075268817204
387,27.956989247311828,19.35483870967742,4.301075268817204
388,27.956989247311828,19.35483870967742,4.301075268817204
389,27.956989247311828,19.35483870967742,4.301075268817204
390,27.956989247311828,19.35483870967742,4.301075268817204
391,27.659574468085108,19.148936170212767,4.25531914893617
392,27.36842105263158,18.94736842105263,4.2105263157894735
393,27.083333333333332,18.75,4.166666666666667
394,26.804123711340207,18.556701030927837,4.123711340206185
395,26.53061224489796,18.367346938775512,4.081632653061225
396,26.262626262626263,18.181818181818183,4.040404040404041
397,26.262626262626263,18.181818181818183,4.040404040404041
398,26.0,18.0,4.0
399,26.0,18.0,4.0
400,26.0,18.0,4.0
401,27.0,18.0,4.0
402,27.0,18.0,4.0
403,27.0,19.0,4.0
404,27.0,19.0,4.0
405,27.0,19.0,4.0
406,27.0,19.0,4.0
407,27.0,19.0,5.0
408,27.0,19.0,5.0
409,27.0,19.0,5.0
410,27.0,19.0,5.0
411,27.0,19.0,6.0
412,27.0,19.0,6.0
413,27.0,19.0,6.0
414,27.0,19.0,6.0
415,27.0,19.0,6.0
416,27.0,19.0,6.0
417,28.0,19.0,6.0
418,28.0,19.0,6.0
419,27.722772277227723,18.81188118811881,5.9405940594059405
420,27.45098039215686,18.627450980392158,5.882352941176471
421,27.45098039215686,19.607843137254903,5.882352941176471
422,27.45098039215686,19.607843137254903,5.882352941176471
423,27.45098039215686,19.607843137254903,5.882352941176471
