nth_trial,left_outer_crosstalk,left_inner_crosstalk,right_inner_crosstalk,right_outer_crosstalk
44,14.285714285714286,85.71428571428571,71.42857142857143,42.857142857142854
45,12.5,75.0,62.5,37.5
46,12.5,87.5,62.5,37.5
47,12.5,87.5,62.5,37.5
48,11.11111111111111,77.77777777777777,55.55555555555556,33.333333333333336
49,10.0,70.0,50.0,30.0
50,10.0,70.0,50.0,30.0
51,9.090909090909092,63.63636363636363,45.45454545454545,27.272727272727273
52,9.090909090909092,72.72727272727273,45.45454545454545,27.272727272727273
53,9.090909090909092,72.72727272727273,45.45454545454545,27.272727272727273
54,9.090909090909092,72.72727272727273,45.45454545454545,27.272727272727273
55,8.333333333333334,66.66666666666667,41.666666666666664,25.0
56,8.333333333333334,66.66666666666667,41.666666666666664,25.0
57,8.333333333333334,66.66666666666667,41.666666666666664,33.333333333333336
58,8.333333333333334,66.66666666666667,41.666666666666664,33.333333333333336
59,8.333333333333334,75.0,41.666666666666664,33.333333333333336
60,8.333333333333334,75.0,41.666666666666664,33.333333333333336
61,8.333333333333334,75.0,41.666666666666664,33.333333333333336
62,8.333333333333334,83.33333333333333,41.666666666666664,33.333333333333336
63,7.6923076923076925,76.92307692307692,38.46153846153846,30.76923076923077
64,7.142857142857143,71.42857142857143,35.714285714285715,28.571428571428573
65,7.142857142857143,78.57142857142857,35.714285714285715,28.571428571428573
66,6.666666666666667,73.33333333333333,33.333333333333336,26.666666666666668
67,6.666666666666667,73.33333333333333,40.0,26.666666666666668
68,6.666666666666667,80.0,40.0,26.666666666666668
69,6.666666666666667,80.0,40.0,26.666666666666668
70,6.666666666666667,80.0,40.0,26.666666666666668
71,6.25,75.0,37.5,25.0
72,6.25,75.0,37.5,25.0
73,5.882352941176471,70.58823529411765,35.294117647058826,23.529411764705884
74,5.555555555555555,66.66666666666667,33.333333333333336,22.22222222222222
75,5.555555555555555,66.66666666666667,33.333333333333336,22.22222222222222
76,5.2631578947368425,63.1578947368421,31.57894736842105,21.05263157894737
77,5.2631578947368425,63.1578947368421,31.57894736842105,21.05263157894737
78,5.2631578947368425,63.1578947368421,31.57894736842105,21.05263157894737
79,5.0,60.0,30.0,20.0
80,5.0,60.0,30.0,20.0
81,5.0,60.0,30.0,20.0
82,4.761904761904762,57.142857142857146,28.571428571428573,19.047619047619047
83,4.545454545454546,54.54545454545455,27.272727272727273,18.181818181818183
84,4.545454545454546,54.54545454545455,31.818181818181817,18.181818181818183
85,9.090909090909092,54.54545454545455,31.818181818181817,18.181818181818183
86,13.636363636363637,54.54545454545455,31.818181818181817,18.181818181818183
87,13.636363636363637,54.54545454545455,36.36363636363637,18.181818181818183
88,13.636363636363637,54.54545454545455,36.36363636363637,18.181818181818183
89,13.636363636363637,54.54545454545455,36.36363636363637,18.181818181818183
90,13.636363636363637,54.54545454545455,36.36363636363637,18.181818181818183
91,13.636363636363637,54.54545454545455,36.36363636363637,22.727272727272727
92,13.636363636363637,54.54545454545455,40.90909090909091,22.727272727272727
93,13.636363636363637,54.54545454545455,45.45454545454545,22.727272727272727
94,13.043478260869565,52.17391304347826,43.47826086956522,21.73913043478261
95,13.043478260869565,56.52173913043478,43.47826086956522,21.73913043478261
96,13.043478260869565,56.52173913043478,43.47826086956522,21.73913043478261
97,13.043478260869565,56.52173913043478,43.47826086956522,21.73913043478261
98,13.043478260869565,56.52173913043478,43.47826086956522,21.73913043478261
