nth_trial,left_outer_crosstalk,left_inner_crosstalk,right_inner_crosstalk,right_outer_crosstalk
161,0.0,7.142857142857143,64.28571428571429,28.571428571428573
162,0.0,7.142857142857143,67.85714285714286,28.571428571428573
163,0.0,7.142857142857143,67.85714285714286,28.571428571428573
164,0.0,7.142857142857143,67.85714285714286,28.571428571428573
165,0.0,6.896551724137931,65.51724137931035,27.586206896551722
166,0.0,6.896551724137931,65.51724137931035,27.586206896551722
167,0.0,6.666666666666667,63.333333333333336,26.666666666666668
168,0.0,6.666666666666667,63.333333333333336,26.666666666666668
169,0.0,6.451612903225806,61.29032258064516,25.806451612903224
170,0.0,6.451612903225806,61.29032258064516,25.806451612903224
171,0.0,6.451612903225806,64.51612903225806,25.806451612903224
172,0.0,6.451612903225806,67.74193548387096,25.806451612903224
173,0.0,6.25,65.625,25.0
174,0.0,6.25,65.625,25.0
175,0.0,6.0606060606060606,63.63636363636363,24.242424242424242
176,0.0,6.0606060606060606,63.63636363636363,24.242424242424242
177,0.0,6.0606060606060606,63.63636363636363,24.242424242424242
178,0.0,5.882352941176471,61.76470588235294,23.529411764705884
179,0.0,5.714285714285714,60.0,22.857142857142858
180,0.0,5.714285714285714,60.0,22.857142857142858
181,0.0,5.555555555555555,58.333333333333336,22.22222222222222
182,0.0,5.555555555555555,58.333333333333336,22.22222222222222
183,0.0,5.555555555555555,58.333333333333336,22.22222222222222
184,0.0,5.555555555555555,58.333333333333336,22.22222222222222
185,0.0,5.555555555555555,61.111111111111114,22.22222222222222
186,0.0,5.555555555555555,63.888888888888886,22.22222222222222
187,0.0,5.555555555555555,63.888888888888886,22.22222222222222
188,0.0,5.555555555555555,63.888888888888886,25.0
189,0.0,5.555555555555555,63.888888888888886,25.0
190,0.0,5.405405405405405,62.16216216216216,24.324324324324323
191,0.0,5.405405405405405,62.16216216216216,24.324324324324323
192,0.0,5.405405405405405,62.16216216216216,24.324324324324323
193,0.0,5.405405405405405,62.16216216216216,24.324324324324323
194,0.0,5.405405405405405,62.16216216216216,24.324324324324323
195,0.0,5.405405405405405,62.16216216216216,24.324324324324323
196,0.0,5.405405405405405,64.86486486486487,24.324324324324323
197,0.0,5.405405405405405,64.86486486486487,24.324324324324323
198,0.0,5.405405405405405,64.86486486486487,24.324324324324323
199,0.0,5.405405405405405,64.86486486486487,24.324324324324323
200,0.0,5.405405405405405,64.86486486486487,24.324324324324323
201,0.0,5.405405405405405,64.86486486486487,24.324324324324323
202,0.0,5.405405405405405,64.86486486486487,24.324324324324323
203,0.0,5.405405405405405,64.86486486486487,24.324324324324323
204,0.0,5.2631578947368425,63.1578947368421,23.68421052631579
205,0.0,5.2631578947368425,63.1578947368421,23.68421052631579
206,0.0,5.2631578947368425,63.1578947368421,23.68421052631579
207,0.0,7.894736842105263,63.1578947368421,23.68421052631579
208,0.0,7.894736842105263,63.1578947368421,26.31578947368421
209,0.0,7.894736842105263,65.78947368421052,26.31578947368421
210,0.0,7.894736842105263,65.78947368421052,26.31578947368421
211,0.0,7.894736842105263,65.78947368421052,26.31578947368421
212,0.0,7.894736842105263,65.78947368421052,26.31578947368421
213,0.0,7.894736842105263,65.78947368421052,26.31578947368421
214,0.0,7.894736842105263,65.78947368421052,26.31578947368421
215,0.0,7.894736842105263,65.78947368421052,26.31578947368421
216,0.0,7.894736842105263,68.42105263157895,26.31578947368421
217,0.0,7.894736842105263,68.42105263157895,26.31578947368421
218,0.0,7.894736842105263,68.42105263157895,26.31578947368421
219,0.0,7.894736842105263,71.05263157894737,26.31578947368421
220,0.0,7.894736842105263,71.05263157894737,26.31578947368421
221,0.0,7.894736842105263,71.05263157894737,26.31578947368421
222,0.0,7.894736842105263,73.6842105263158,26.31578947368421
223,0.0,7.6923076923076925,71.7948717948718,25.641025641025642
224,0.0,7.6923076923076925,71.7948717948718,25.641025641025642
225,0.0,7.6923076923076925,71.7948717948718,25.641025641025642
226,0.0,7.6923076923076925,74.35897435897436,25.641025641025642
227,0.0,7.6923076923076925,74.35897435897436,28.205128205128204
228,0.0,7.5,72.5,27.5
229,0.0,7.5,72.5,27.5
230,0.0,7.317073170731708,70.73170731707317,26.829268292682926
231,0.0,7.317073170731708,70.73170731707317,26.829268292682926
232,0.0,7.317073170731708,73.17073170731707,26.829268292682926
233,0.0,7.317073170731708,73.17073170731707,26.829268292682926
234,0.0,7.142857142857143,71.42857142857143,26.19047619047619
235,0.0,7.142857142857143,71.42857142857143,26.19047619047619
236,0.0,7.142857142857143,73.80952380952381,26.19047619047619
237,0.0,6.976744186046512,72.09302325581395,25.58139534883721
238,0.0,6.976744186046512,74.4186046511628,25.58139534883721
239,0.0,6.976744186046512,74.4186046511628,25.58139534883721
240,0.0,6.818181818181818,72.72727272727273,25.0
241,0.0,6.666666666666667,71.11111111111111,24.444444444444443
242,0.0,6.666666666666667,71.11111111111111,24.444444444444443
243,0.0,6.521739130434782,69.56521739130434,23.91304347826087
244,0.0,6.382978723404255,68.08510638297872,23.404255319148938
245,0.0,6.25,66.66666666666667,22.916666666666668
246,0.0,6.25,68.75,22.916666666666668
247,0.0,6.25,68.75,22.916666666666668
248,0.0,6.25,68.75,22.916666666666668
249,0.0,6.25,70.83333333333333,22.916666666666668
250,0.0,6.122448979591836,69.38775510204081,22.448979591836736
251,0.0,6.122448979591836,69.38775510204081,22.448979591836736
252,0.0,6.122448979591836,69.38775510204081,22.448979591836736
253,0.0,6.122448979591836,69.38775510204081,22.448979591836736
254,0.0,6.122448979591836,69.38775510204081,22.448979591836736
255,0.0,6.122448979591836,71.42857142857143,22.448979591836736
256,0.0,6.122448979591836,71.42857142857143,22.448979591836736
257,0.0,6.122448979591836,73.46938775510205,22.448979591836736
258,0.0,6.122448979591836,73.46938775510205,22.448979591836736
259,0.0,6.122448979591836,75.51020408163265,22.448979591836736
260,0.0,6.122448979591836,75.51020408163265,22.448979591836736
261,0.0,6.122448979591836,75.51020408163265,22.448979591836736
262,0.0,6.122448979591836,77.55102040816327,22.448979591836736
263,0.0,6.122448979591836,77.55102040816327,24.489795918367346
264,0.0,6.122448979591836,79.59183673469387,24.489795918367346
265,0.0,6.122448979591836,79.59183673469387,24.489795918367346
266,0.0,6.0,78.0,24.0
267,0.0,6.0,78.0,24.0
268,0.0,6.0,78.0,24.0
269,0.0,6.0,78.0,24.0
270,0.0,5.882352941176471,76.47058823529412,23.529411764705884
271,0.0,5.882352941176471,76.47058823529412,23.529411764705884
272,0.0,5.769230769230769,75.0,23.076923076923077
273,0.0,5.769230769230769,76.92307692307692,23.076923076923077
274,0.0,5.769230769230769,76.92307692307692,25.0
275,0.0,5.660377358490566,75.47169811320755,24.528301886792452
276,0.0,5.660377358490566,75.47169811320755,26.41509433962264
277,0.0,5.660377358490566,75.47169811320755,26.41509433962264
278,0.0,5.660377358490566,75.47169811320755,28.30188679245283
279,0.0,5.660377358490566,75.47169811320755,28.30188679245283
280,0.0,5.555555555555555,74.07407407407408,27.77777777777778
281,0.0,5.555555555555555,74.07407407407408,27.77777777777778
282,0.0,5.555555555555555,74.07407407407408,27.77777777777778
283,0.0,5.555555555555555,74.07407407407408,27.77777777777778
284,0.0,5.454545454545454,72.72727272727273,27.272727272727273
285,0.0,5.454545454545454,72.72727272727273,27.272727272727273
286,0.0,5.454545454545454,72.72727272727273,27.272727272727273
287,0.0,5.454545454545454,72.72727272727273,27.272727272727273
288,0.0,5.454545454545454,72.72727272727273,27.272727272727273
289,0.0,5.454545454545454,72.72727272727273,27.272727272727273
290,0.0,5.357142857142857,71.42857142857143,26.785714285714285
291,0.0,5.357142857142857,71.42857142857143,26.785714285714285
292,0.0,5.357142857142857,71.42857142857143,26.785714285714285
293,0.0,5.357142857142857,71.42857142857143,26.785714285714285
294,0.0,5.2631578947368425,70.17543859649123,26.31578947368421
295,0.0,5.172413793103448,68.96551724137932,25.862068965517242
296,0.0,5.172413793103448,68.96551724137932,25.862068965517242
297,0.0,5.172413793103448,68.96551724137932,25.862068965517242
298,0.0,5.172413793103448,68.96551724137932,25.862068965517242
299,0.0,5.172413793103448,68.96551724137932,25.862068965517242
300,0.0,5.172413793103448,68.96551724137932,25.862068965517242
301,0.0,5.172413793103448,68.96551724137932,27.586206896551722
302,0.0,5.172413793103448,68.96551724137932,27.586206896551722
303,0.0,5.172413793103448,68.96551724137932,27.586206896551722
304,0.0,5.172413793103448,68.96551724137932,27.586206896551722
305,0.0,5.172413793103448,68.96551724137932,27.586206896551722
306,0.0,5.084745762711864,67.79661016949153,27.11864406779661
307,0.0,5.084745762711864,67.79661016949153,27.11864406779661
308,0.0,5.084745762711864,67.79661016949153,27.11864406779661
309,0.0,5.084745762711864,67.79661016949153,27.11864406779661
310,0.0,5.0,66.66666666666667,26.666666666666668
311,0.0,5.0,66.66666666666667,26.666666666666668
312,0.0,5.0,66.66666666666667,26.666666666666668
313,0.0,4.918032786885246,65.57377049180327,26.229508196721312
314,0.0,4.918032786885246,65.57377049180327,26.229508196721312
315,0.0,4.918032786885246,67.21311475409836,26.229508196721312
316,0.0,4.918032786885246,67.21311475409836,26.229508196721312
317,0.0,4.918032786885246,67.21311475409836,26.229508196721312
318,0.0,4.918032786885246,67.21311475409836,26.229508196721312
319,0.0,4.918032786885246,67.21311475409836,26.229508196721312
320,0.0,4.918032786885246,67.21311475409836,26.229508196721312
321,0.0,4.918032786885246,67.21311475409836,26.229508196721312
322,0.0,4.918032786885246,67.21311475409836,27.868852459016395
323,0.0,4.838709677419355,66.12903225806451,27.419354838709676
324,0.0,4.838709677419355,66.12903225806451,27.419354838709676
325,0.0,4.838709677419355,66.12903225806451,27.419354838709676
326,0.0,4.838709677419355,66.12903225806451,27.419354838709676
327,0.0,4.838709677419355,66.12903225806451,27.419354838709676
328,0.0,4.838709677419355,66.12903225806451,27.419354838709676
329,0.0,4.838709677419355,66.12903225806451,27.419354838709676
330,0.0,4.838709677419355,66.12903225806451,27.419354838709676
331,0.0,4.838709677419355,66.12903225806451,27.419354838709676
332,0.0,4.838709677419355,66.12903225806451,29.032258064516128
333,0.0,4.838709677419355,67.74193548387096,29.032258064516128
334,0.0,4.838709677419355,67.74193548387096,29.032258064516128
335,0.0,4.838709677419355,67.74193548387096,29.032258064516128
336,0.0,4.838709677419355,67.74193548387096,29.032258064516128
337,0.0,4.838709677419355,67.74193548387096,29.032258064516128
338,0.0,4.838709677419355,69.35483870967742,29.032258064516128
339,0.0,4.838709677419355,70.96774193548387,29.032258064516128
340,0.0,4.838709677419355,70.96774193548387,30.64516129032258
341,0.0,4.838709677419355,70.96774193548387,32.25806451612903
342,0.0,4.761904761904762,69.84126984126983,31.746031746031747
343,0.0,4.6875,68.75,31.25
344,0.0,4.615384615384615,67.6923076923077,30.76923076923077
345,0.0,4.615384615384615,67.6923076923077,30.76923076923077
346,0.0,4.615384615384615,67.6923076923077,30.76923076923077
347,0.0,4.545454545454546,66.66666666666667,30.303030303030305
348,0.0,4.477611940298507,65.67164179104478,29.850746268656717
349,0.0,4.477611940298507,65.67164179104478,29.850746268656717
350,0.0,4.477611940298507,67.16417910447761,29.850746268656717
351,0.0,4.411764705882353,66.17647058823529,29.41176470588235
352,0.0,4.411764705882353,66.17647058823529,29.41176470588235
353,0.0,4.411764705882353,66.17647058823529,29.41176470588235
354,0.0,4.3478260869565215,65.21739130434783,28.985507246376812
