x_coordinate,y_coordinate
-5.277,1.289
-5.28,1.272
-5.29,1.28
-5.29,1.284
-5.297,1.287
-5.297,1.306
-5.29,1.313
-5.297,1.319
-5.297,1.3125
-5.297,1.301
-5.305,1.31
-5.29,1.313
-5.28,1.336
-5.266,1.356
-5.273,1.37
-5.273,1.3545
-5.273,1.349
-5.273,1.342
-5.27,1.35
-5.266,1.354
-5.258,1.361
-5.266,1.345
-5.285,1.341
-5.277,1.333
-5.266,1.338
-5.27,1.342
-5.25,1.337
-5.254,1.361
-5.254,1.34
-5.26,1.328
-5.26,1.33
-5.254,1.34
-5.25,1.346
-5.234,1.357
-5.25,1.362
-5.25,1.368
-5.246,1.358
-5.242,1.355
-5.227,1.34
-5.223,1.35
-5.227,1.337
-5.21,1.322
-5.188,1.311
-5.2,1.327
-5.215,1.348
-5.207,1.32
-5.22,1.32
-5.21,1.344
-5.203,1.353
-5.223,1.355
-5.215,1.359
-5.207,1.3545
-5.188,1.38
-5.176,1.387
-5.188,1.383
-5.2,1.399
-5.207,1.3955
-5.207,1.406
-5.223,1.396
-5.23,1.401
-5.234,1.39
-5.23,1.384
-5.227,1.385
-5.227,1.395
-5.23,1.405
-5.24,1.405
-5.242,1.38
-5.254,1.368
-5.246,1.369
-5.254,1.358
-5.25,1.364
-5.246,1.379
-5.258,1.386
-5.258,1.379
-5.273,1.391
-5.273,1.379
-5.26,1.377
-5.266,1.377
-5.246,1.379
-5.246,1.382
-5.246,1.379
-5.26,1.365
-5.266,1.346
-5.27,1.324
-5.277,1.307
-5.26,1.335
-5.25,1.346
-5.234,1.343
-5.254,1.313
-5.234,1.302
-5.242,1.307
-5.227,1.289
-5.23,1.296
-5.223,1.312
-5.215,1.318
-5.215,1.324
-5.215,1.313
-5.21,1.316
-5.207,1.312
-5.203,1.318
-5.215,1.317
-5.203,1.298
-5.21,1.287
-5.215,1.274
-5.2,1.28
-5.203,1.274
-5.21,1.26
-5.203,1.266
-5.2,1.257
-5.2,1.264
-5.2,1.262
-5.203,1.251
-5.184,1.259
-5.18,1.252
-5.168,1.247
-5.176,1.245
-5.17,1.261
-5.176,1.238
-5.19,1.251
-5.176,1.258
-5.19,1.256
-5.19,1.268
-5.195,1.2705
-5.19,1.267
-5.19,1.286
-5.195,1.277
-5.2,1.296
-5.195,1.303
-5.207,1.316
-5.19,1.314
-5.188,1.295
-5.2,1.313
-5.19,1.32
-5.18,1.324
-5.184,1.319
-5.195,1.298
-5.188,1.297
-5.195,1.289
-5.215,1.293
-5.215,1.29
-5.215,1.299
-5.2,1.316
-5.18,1.297
-5.156,1.309
-5.168,1.316
-5.188,1.305
-5.203,1.311
-5.22,1.321
-5.203,1.347
-5.2,1.342
-5.2,1.341
-5.195,1.354
-5.207,1.368
-5.207,1.373
-5.184,1.372
-5.176,1.38
-5.168,1.369
-5.203,1.365
-5.18,1.359
-5.168,1.36
-5.17,1.347
-5.176,1.363
-5.184,1.366
-5.184,1.384
-5.188,1.383
-5.195,1.376
-5.184,1.373
-5.188,1.358
-5.19,1.3545
-5.203,1.343
-5.188,1.337
-5.18,1.334
-5.18,1.34
-5.188,1.322
-5.207,1.332
-5.21,1.323
-5.22,1.318
-5.223,1.318
-5.223,1.307
-5.24,1.323
-5.242,1.335
-5.234,1.361
-5.24,1.351
-5.23,1.337
-5.22,1.354
-5.2,1.349
-5.203,1.332
-5.215,1.343
